Statistical profiling result from isolate-0x103000000-v8.log, (2732 ticks, 192 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  LazyCompile: ~PacketWriter.writeBuffer /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/mysql/lib/protocol/PacketWriter.js:92:46
      1    0.0%    0.0%  LazyCompile: ~Object native v8natives.js:18:27
      1    0.0%    0.0%  LazyCompile: ~Node /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/is-expression/node_modules/acorn/dist/acorn.js:2501:25
      1    0.0%    0.0%  LazyCompile: ~NativeModule.nonInternalExists bootstrap_node.js:565:46
      1    0.0%    0.0%  LazyCompile: ~Module._resolveFilename module.js:514:35
      1    0.0%    0.0%  LazyCompile: ~InnerArrayJoin native array.js:274:24
      1    0.0%    0.0%  LazyCompile: ~Duplex _stream_duplex.js:47:16
      1    0.0%    0.0%  LazyCompile: ~DoJoin native array.js:94:16
      1    0.0%    0.0%  LazyCompile: ~ClientRequest _http_client.js:79:23
      1    0.0%    0.0%  LazyCompile: ~Buffer.toString buffer.js:609:37
      1    0.0%    0.0%  LazyCompile: ~Buffer.concat buffer.js:425:25
      1    0.0%    0.0%  LazyCompile: ~<anonymous> :10:11
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/pug/lib/index.js:102:36
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/pug-walk/index.js:103:34
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/pug-attrs/index.js:24:31
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/psl/index.js:14:61
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/lodash/_overRest.js:17:18
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/lodash/_baseMerge.js:24:27
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/knex/lib/util/make-knex.js:162:40
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/express/lib/router/index.js:275:64
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/babylon/lib/index.js:18:19
      1    0.0%    0.0%  LazyCompile: ~(anonymous function).args /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/winston/lib/winston/create-logger.js:48:21
      1    0.0%    0.0%  LazyCompile: *tag /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/pug-parser/index.js:1056:16
      1    0.0%    0.0%  LazyCompile: *stringify /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/js-stringify/index.js:4:19
      1    0.0%    0.0%  LazyCompile: *skipThrough /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/acorn-globals/node_modules/acorn/dist/walk.js:162:21
      1    0.0%    0.0%  LazyCompile: *readWord /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/babylon/lib/index.js:1509:51
      1    0.0%    0.0%  LazyCompile: *pp.eat /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/acorn/dist/acorn.js:534:20
      1    0.0%    0.0%  LazyCompile: *pp$7.readWord1 /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/acorn/dist/acorn.js:3047:28
      1    0.0%    0.0%  LazyCompile: *pp$7.readNumber /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/acorn/dist/acorn.js:2875:29
      1    0.0%    0.0%  LazyCompile: *pp$7.next /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/acorn/dist/acorn.js:2405:23
      1    0.0%    0.0%  LazyCompile: *pp$5.startNodeAt /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/acorn-globals/node_modules/acorn/dist/acorn.js:2521:28
      1    0.0%    0.0%  LazyCompile: *pp$3.parseExprOp /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/acorn/dist/acorn.js:1648:30
      1    0.0%    0.0%  LazyCompile: *pp$3.parseCallExpressionArguments /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/babylon/lib/index.js:3555:46
      1    0.0%    0.0%  LazyCompile: *pp$3.buildBinary /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/acorn-globals/node_modules/acorn/dist/acorn.js:1818:28
      1    0.0%    0.0%  LazyCompile: *nextToken /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/babylon/lib/index.js:753:53
      1    0.0%    0.0%  LazyCompile: *loadPlugins /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/babylon/lib/index.js:1618:54
      1    0.0%    0.0%  LazyCompile: *include /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/pug-lexer/index.js:729:20
      1    0.0%    0.0%  LazyCompile: *getOptions /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/is-expression/node_modules/acorn/dist/acorn.js:387:20
      1    0.0%    0.0%  LazyCompile: *fullCharCodeAtPos /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/babylon/lib/index.js:780:69
      1    0.0%    0.0%  LazyCompile: *finishToken /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/babylon/lib/index.js:888:57
      1    0.0%    0.0%  LazyCompile: *doctype /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/pug-lexer/index.js:407:20
      1    0.0%    0.0%  LazyCompile: *compileAttrs /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/pug-attrs/index.js:22:22
      1    0.0%    0.0%  LazyCompile: *className /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/pug-lexer/index.js:436:22
      1    0.0%    0.0%  LazyCompile: *bufferExpression /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/pug-code-gen/index.js:207:30
      1    0.0%    0.0%  LazyCompile: *base.NewExpression.base.CallExpression /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/acorn-globals/node_modules/acorn/dist/walk.js:308:53
      1    0.0%    0.0%  LazyCompile: *base.AssignmentExpression.base.AssignmentPattern /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/acorn-globals/node_modules/acorn/dist/walk.js:299:63
      1    0.0%    0.0%  LazyCompile: *attribute /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/pug-lexer/index.js:1059:22
      1    0.0%    0.0%  LazyCompile: *addAttribute /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/pug-attrs/index.js:46:24
      1    0.0%    0.0%  LazyCompile: *Readable.read _stream_readable.js:365:35
      1    0.0%    0.0%  LazyCompile: *<anonymous> /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/request/lib/helpers.js:44:37
      1    0.0%    0.0%  LazyCompile: *<anonymous> /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/pug-walk/index.js:103:34
      1    0.0%    0.0%  LazyCompile: *<anonymous> /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/acorn-globals/index.js:155:28
      1    0.0%    0.0%  KeyedStoreIC: A keyed store IC from the snapshot {1}
      1    0.0%    0.0%  Handler: An IC handler from the snapshot
      1    0.0%    0.0%  Builtin: ToString
      1    0.0%    0.0%  Builtin: ToNumber
      1    0.0%    0.0%  Builtin: StringToLowerCaseIntl
      1    0.0%    0.0%  Builtin: StringIndexOf
      1    0.0%    0.0%  Builtin: StringFromCharCode
      1    0.0%    0.0%  Builtin: StoreICStrict_Uninitialized
      1    0.0%    0.0%  Builtin: NonNumberToNumber
      1    0.0%    0.0%  Builtin: MapSet
      1    0.0%    0.0%  Builtin: MapLookupHashIndex
      1    0.0%    0.0%  Builtin: LoadIC_Uninitialized
      1    0.0%    0.0%  Builtin: LoadICProtoArray
      1    0.0%    0.0%  Builtin: JSBuiltinsConstructStub
      1    0.0%    0.0%  Builtin: InstanceOf
      1    0.0%    0.0%  Builtin: FastArrayPop
      1    0.0%    0.0%  Builtin: Call_ReceiverIsNullOrUndefined
      1    0.0%    0.0%  Builtin: CallFunction_ReceiverIsNullOrUndefined
      1    0.0%    0.0%  Builtin: ArrayReduce
      1    0.0%    0.0%  Builtin: ArrayIndexOf
      1    0.0%    0.0%  Builtin: Add {1}

 [C++]:
   ticks  total  nonlib   name
    187    6.8%    6.9%  t node::(anonymous namespace)::ContextifyScript::New(v8::FunctionCallbackInfo<v8::Value> const&)
    169    6.2%    6.3%  T _kpersona_get
     81    3.0%    3.0%  T v8::internal::IncrementalMarking::Step(unsigned long, v8::internal::IncrementalMarking::CompletionAction, v8::internal::IncrementalMarking::ForceCompletionAction, v8::internal::StepOrigin)
     20    0.7%    0.7%  t v8::internal::Heap::AllocateRaw(int, v8::internal::AllocationSpace, v8::internal::AllocationAlignment)
     20    0.7%    0.7%  t node::InternalModuleStat(v8::FunctionCallbackInfo<v8::Value> const&)
     20    0.7%    0.7%  T v8::internal::JsonStringifier::SerializeString(v8::internal::Handle<v8::internal::String>)
     18    0.7%    0.7%  t v8::internal::Scavenger::ScavengeObject(v8::internal::HeapObject**, v8::internal::HeapObject*)
     17    0.6%    0.6%  T v8::internal::TransitionArray::Search(v8::internal::PropertyKind, v8::internal::Name*, v8::internal::PropertyAttributes, int*)
     17    0.6%    0.6%  T node::TCPWrap::Connect(v8::FunctionCallbackInfo<v8::Value> const&)
     16    0.6%    0.6%  t void v8::internal::String::WriteToFlat<unsigned char>(v8::internal::String*, unsigned char*, int, int)
     16    0.6%    0.6%  T _mach_vm_purgable_control
     15    0.5%    0.6%  t node::Open(v8::FunctionCallbackInfo<v8::Value> const&)
     15    0.5%    0.6%  t _szone_malloc_should_clear
     15    0.5%    0.6%  T v8::internal::compiler::GraphReducer::ReduceTop()
     13    0.5%    0.5%  t v8::internal::LookupIterator::State v8::internal::LookupIterator::LookupInRegularHolder<false>(v8::internal::Map*, v8::internal::JSReceiver*)
     13    0.5%    0.5%  T v8::internal::JSObject::MigrateToMap(v8::internal::Handle<v8::internal::JSObject>, v8::internal::Handle<v8::internal::Map>, int)
     13    0.5%    0.5%  T v8::internal::ElementsAccessor::Concat(v8::internal::Isolate*, v8::internal::Arguments*, unsigned int, unsigned int)
     12    0.4%    0.4%  T v8::internal::Heap::AllocateFixedArrayWithFiller(int, v8::internal::PretenureFlag, v8::internal::Object*)
     11    0.4%    0.4%  t v8::internal::(anonymous namespace)::Fast_ArrayConcat(v8::internal::Isolate*, v8::internal::BuiltinArguments*)
     11    0.4%    0.4%  T v8::internal::Runtime_StringToArray(int, v8::internal::Object**, v8::internal::Isolate*)
     11    0.4%    0.4%  T v8::internal::Runtime_KeyedGetProperty(int, v8::internal::Object**, v8::internal::Isolate*)
      9    0.3%    0.3%  t v8::internal::Handle<v8::internal::String> v8::internal::JsonParser<true>::ScanJsonString<false>()
      9    0.3%    0.3%  t node::Read(v8::FunctionCallbackInfo<v8::Value> const&)
      8    0.3%    0.3%  t v8::internal::Worklist<v8::internal::HeapObject*, 64>::Pop(int, v8::internal::HeapObject**)
      8    0.3%    0.3%  t v8::internal::Builtin_Impl_ArrayConcat(v8::internal::BuiltinArguments, v8::internal::Isolate*)
      8    0.3%    0.3%  T v8::internal::StringTable::LookupString(v8::internal::Isolate*, v8::internal::Handle<v8::internal::String>)
      7    0.3%    0.3%  t v8::internal::LookupIterator::LookupIterator(v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Name>, v8::internal::LookupIterator::Configuration)
      7    0.3%    0.3%  t v8::internal::JsonStringifier::Result v8::internal::JsonStringifier::Serialize_<true>(v8::internal::Handle<v8::internal::Object>, bool, v8::internal::Handle<v8::internal::Object>)
      7    0.3%    0.3%  t v8::internal::ConsString* v8::internal::String::VisitFlat<v8::internal::IteratingStringHasher>(v8::internal::IteratingStringHasher*, v8::internal::String*, int)
      7    0.3%    0.3%  t int v8::internal::BinarySearch<(v8::internal::SearchMode)1, v8::internal::DescriptorArray>(v8::internal::DescriptorArray*, v8::internal::Name*, int, int*)
      7    0.3%    0.3%  t __os_unfair_lock_lock_slow
      7    0.3%    0.3%  t ___vfprintf
      7    0.3%    0.3%  T v8::internal::TransitionsAccessor::Initialize()
      7    0.3%    0.3%  T v8::internal::Heap::InitializeJSObjectFromMap(v8::internal::JSObject*, v8::internal::Object*, v8::internal::Map*)
      7    0.3%    0.3%  T v8::internal::Heap::CreateFillerObjectAt(unsigned char*, int, v8::internal::ClearRecordedSlots)
      7    0.3%    0.3%  T v8::internal::Factory::NewJSArrayStorage(v8::internal::Handle<v8::internal::JSArray>, int, int, v8::internal::ArrayStorageAllocationMode)
      6    0.2%    0.2%  t v8::internal::JsonStringifier::Result v8::internal::JsonStringifier::Serialize_<false>(v8::internal::Handle<v8::internal::Object>, bool, v8::internal::Handle<v8::internal::Object>)
      6    0.2%    0.2%  t v8::internal::Handle<v8::internal::String> v8::internal::JsonParser<true>::ScanJsonString<true>()
      6    0.2%    0.2%  t node::LStat(v8::FunctionCallbackInfo<v8::Value> const&)
      6    0.2%    0.2%  t node::InternalModuleReadFile(v8::FunctionCallbackInfo<v8::Value> const&)
      6    0.2%    0.2%  t int v8::internal::SlotSet::Iterate<v8::internal::PageScavengingItem::Process(v8::internal::Scavenger*)::'lambda'(unsigned char*)>(v8::internal::PageScavengingItem::Process(v8::internal::Scavenger*)::'lambda'(unsigned char*), v8::internal::SlotSet::EmptyBucketMode)
      6    0.2%    0.2%  T v8::internal::JsonParser<true>::ParseJsonString(v8::internal::Handle<v8::internal::String>)
      6    0.2%    0.2%  T v8::internal::JsonParser<true>::ParseJsonObject()
      6    0.2%    0.2%  T v8::internal::Factory::LookupSingleCharacterStringFromCode(unsigned int)
      5    0.2%    0.2%  T void node::StreamBase::JSMethod<node::LibuvStreamWrap, &(node::StreamBase::Writev(v8::FunctionCallbackInfo<v8::Value> const&))>(v8::FunctionCallbackInfo<v8::Value> const&)
      5    0.2%    0.2%  T v8::internal::TransitionsAccessor::ExpectedTransitionKey()
      5    0.2%    0.2%  T v8::internal::String::GetFlatContent()
      5    0.2%    0.2%  T v8::internal::StackFrameIterator::StackFrameIterator(v8::internal::Isolate*, v8::internal::ThreadLocalTop*)
      5    0.2%    0.2%  T v8::internal::Scavenger::Process(v8::internal::Scavenger::Barrier*)
      5    0.2%    0.2%  T v8::internal::Heap::AllocateJSObjectFromMap(v8::internal::Map*, v8::internal::PretenureFlag, v8::internal::AllocationSite*)
      5    0.2%    0.2%  T v8::internal::Factory::NewJSArray(v8::internal::ElementsKind, int, int, v8::internal::ArrayStorageAllocationMode, v8::internal::PretenureFlag)
      5    0.2%    0.2%  T v8::internal::AccountingAllocator::ReturnSegment(v8::internal::Segment*)
      5    0.2%    0.2%  T node::crypto::RandomBytes(v8::FunctionCallbackInfo<v8::Value> const&)
      5    0.2%    0.2%  T node::TTYWrap::New(v8::FunctionCallbackInfo<v8::Value> const&)
      5    0.2%    0.2%  T _vm_purgable_control
      5    0.2%    0.2%  T _os_unfair_lock_assert_not_owner
      4    0.1%    0.1%  t void v8::internal::String::WriteToFlat<unsigned short>(v8::internal::String*, unsigned short*, int, int)
      4    0.1%    0.1%  t void node::Buffer::(anonymous namespace)::StringSlice<(node::encoding)1>(v8::FunctionCallbackInfo<v8::Value> const&)
      4    0.1%    0.1%  t v8::internal::compiler::(anonymous namespace)::SourcePositionWrapper::Reduce(v8::internal::compiler::Node*)
      4    0.1%    0.1%  t v8::internal::Scavenger::EvacuateShortcutCandidate(v8::internal::Map*, v8::internal::HeapObject**, v8::internal::ConsString*, int)
      4    0.1%    0.1%  t node::(anonymous namespace)::ContextifyScript::RunInThisContext(v8::FunctionCallbackInfo<v8::Value> const&)
      4    0.1%    0.1%  t _update_cache_for_file_streams
      4    0.1%    0.1%  t _malloc_zone_register_while_locked
      4    0.1%    0.1%  t __os_unfair_lock_unlock_slow
      4    0.1%    0.1%  t __malloc_initialize
      4    0.1%    0.1%  T void node::GetSockOrPeerName<node::TCPWrap, &(uv_tcp_getpeername)>(v8::FunctionCallbackInfo<v8::Value> const&)
      4    0.1%    0.1%  T v8::internal::interpreter::BytecodeArrayWriter::EmitBytecode(v8::internal::interpreter::BytecodeNode const*)
      4    0.1%    0.1%  T v8::internal::compiler::GraphTrimmer::TrimGraph()
      4    0.1%    0.1%  T v8::internal::compiler::GraphReducer::Reduce(v8::internal::compiler::Node*)
      4    0.1%    0.1%  T v8::internal::Zone::Zone(v8::internal::AccountingAllocator*, char const*)
      4    0.1%    0.1%  T v8::internal::StringTable::LookupKey(v8::internal::Isolate*, v8::internal::StringTableKey*)
      4    0.1%    0.1%  T v8::internal::String::SlowEquals(v8::internal::String*)
      4    0.1%    0.1%  T v8::internal::String::IsOneByteEqualTo(v8::internal::Vector<unsigned char const>)
      4    0.1%    0.1%  T v8::internal::Map::TransitionToDataProperty(v8::internal::Handle<v8::internal::Map>, v8::internal::Handle<v8::internal::Name>, v8::internal::Handle<v8::internal::Object>, v8::internal::PropertyAttributes, v8::internal::PropertyConstness, v8::internal::Object::StoreFromKeyed, bool*)
      4    0.1%    0.1%  T v8::internal::JSObject::FastPropertyAt(v8::internal::Handle<v8::internal::JSObject>, v8::internal::Representation, v8::internal::FieldIndex)
      4    0.1%    0.1%  T v8::internal::CanonicalHandleScope::Lookup(v8::internal::Object*)
      4    0.1%    0.1%  T v8::internal::AccountingAllocator::GetSegment(unsigned long)
      3    0.1%    0.1%  t void std::__1::__sort<v8::internal::EnumIndexComparator<v8::internal::NameDictionary>&, v8::base::AtomicElement<v8::internal::Smi*>*>(v8::base::AtomicElement<v8::internal::Smi*>*, v8::base::AtomicElement<v8::internal::Smi*>*, v8::internal::EnumIndexComparator<v8::internal::NameDictionary>&)
      3    0.1%    0.1%  t v8::internal::Object* v8::internal::StringReplaceGlobalAtomRegExpWithString<v8::internal::SeqOneByteString>(v8::internal::Isolate*, v8::internal::Handle<v8::internal::String>, v8::internal::Handle<v8::internal::JSRegExp>, v8::internal::Handle<v8::internal::String>, v8::internal::Handle<v8::internal::RegExpMatchInfo>)
      3    0.1%    0.1%  t v8::internal::MaybeHandle<v8::internal::Object> v8::internal::(anonymous namespace)::HandleApiCallHelper<false>(v8::internal::Isolate*, v8::internal::Handle<v8::internal::HeapObject>, v8::internal::Handle<v8::internal::HeapObject>, v8::internal::Handle<v8::internal::FunctionTemplateInfo>, v8::internal::Handle<v8::internal::Object>, v8::internal::BuiltinArguments)
      3    0.1%    0.1%  t v8::internal::(anonymous namespace)::StringReplaceGlobalRegExpWithStringHelper(v8::internal::Isolate*, v8::internal::Handle<v8::internal::JSRegExp>, v8::internal::Handle<v8::internal::String>, v8::internal::Handle<v8::internal::String>, v8::internal::Handle<v8::internal::RegExpMatchInfo>)
      3    0.1%    0.1%  t v8::internal::(anonymous namespace)::CopyObjectToObjectElements(v8::internal::FixedArrayBase*, v8::internal::ElementsKind, unsigned int, v8::internal::FixedArrayBase*, v8::internal::ElementsKind, unsigned int, int)
      3    0.1%    0.1%  t v8::Maybe<bool> v8::internal::CompiledReplacement::ParseReplacementPattern<unsigned char const>(v8::internal::ZoneList<v8::internal::CompiledReplacement::ReplacementPart>*, v8::internal::Vector<unsigned char const>, v8::internal::FixedArray*, int, int, v8::internal::Zone*)
      3    0.1%    0.1%  t node::Binding(v8::FunctionCallbackInfo<v8::Value> const&)
      3    0.1%    0.1%  t node::(anonymous namespace)::Parser::Execute(v8::FunctionCallbackInfo<v8::Value> const&)
      3    0.1%    0.1%  t _szone_pressure_relief
      3    0.1%    0.1%  t _mvm_allocate_pages
      3    0.1%    0.1%  T void node::StreamBase::JSMethod<node::LibuvStreamWrap, &(int node::StreamBase::WriteString<(node::encoding)4>(v8::FunctionCallbackInfo<v8::Value> const&))>(v8::FunctionCallbackInfo<v8::Value> const&)
      3    0.1%    0.1%  T v8::internal::compiler::NodeProperties::IsControlEdge(v8::internal::compiler::Edge)
      3    0.1%    0.1%  T v8::internal::compiler::Node::New(v8::internal::Zone*, unsigned int, v8::internal::compiler::Operator const*, int, v8::internal::compiler::Node* const*, bool)
      3    0.1%    0.1%  T v8::internal::Zone::New(unsigned long)
      3    0.1%    0.1%  T v8::internal::Scanner::ScanIdentifierOrKeyword()
      3    0.1%    0.1%  T v8::internal::Scanner::Scan()
      3    0.1%    0.1%  T v8::internal::Runtime_StringReplaceGlobalRegExpWithString(int, v8::internal::Object**, v8::internal::Isolate*)
      3    0.1%    0.1%  T v8::internal::JsonParser<true>::ParseJsonArray()
      3    0.1%    0.1%  T v8::internal::Factory::NumberToString(v8::internal::Handle<v8::internal::Object>, bool)
      3    0.1%    0.1%  T v8::internal::Factory::NewJSObjectFromMap(v8::internal::Handle<v8::internal::Map>, v8::internal::PretenureFlag, v8::internal::Handle<v8::internal::AllocationSite>)
      3    0.1%    0.1%  T v8::internal::EscapeRegExpSource(v8::internal::Isolate*, v8::internal::Handle<v8::internal::String>)
      3    0.1%    0.1%  T v8::internal::Bitmap::Clear()
      3    0.1%    0.1%  T node::HandleWrap::Close(v8::FunctionCallbackInfo<v8::Value> const&)
      2    0.1%    0.1%  t void v8::internal::RelocInfo::Visit<v8::internal::IncrementalMarkingMarkingVisitor>(v8::internal::Isolate*, v8::internal::IncrementalMarkingMarkingVisitor*)
      2    0.1%    0.1%  t void v8::internal::LookupIterator::NextInternal<false>(v8::internal::Map*, v8::internal::JSReceiver*)
      2    0.1%    0.1%  t void v8::internal::JSFunction::BodyDescriptorImpl<(v8::internal::JSFunction::BodyVisitingPolicy)1>::IterateBody<v8::internal::ScavengeVisitor>(v8::internal::HeapObject*, int, v8::internal::ScavengeVisitor*)
      2    0.1%    0.1%  t void v8::internal::FixedBodyDescriptor<24, 40, 40>::IterateBody<v8::internal::IncrementalMarkingMarkingVisitor>(v8::internal::HeapObject*, v8::internal::IncrementalMarkingMarkingVisitor*)
      2    0.1%    0.1%  t v8::internal::compiler::(anonymous namespace)::UpdateInLiveness(v8::internal::interpreter::Bytecode, v8::internal::compiler::BytecodeLivenessState&, v8::internal::interpreter::BytecodeArrayAccessor const&)
      2    0.1%    0.1%  t v8::internal::StringReplaceGlobalRegExpWithString(v8::internal::Isolate*, v8::internal::Handle<v8::internal::String>, v8::internal::Handle<v8::internal::JSRegExp>, v8::internal::Handle<v8::internal::String>, v8::internal::Handle<v8::internal::RegExpMatchInfo>)
      2    0.1%    0.1%  t v8::internal::ParserBase<v8::internal::Parser>::ParseLeftHandSideExpression(bool*)
      2    0.1%    0.1%  t v8::internal::ParserBase<v8::internal::Parser>::ArrowFormalParametersUnexpectedToken()
      2    0.1%    0.1%  t v8::internal::IterateAndScavengePromotedObjectsVisitor::VisitPointers(v8::internal::HeapObject*, v8::internal::Object**, v8::internal::Object**)
      2    0.1%    0.1%  t v8::internal::InternalizedStringTableCleaner::VisitPointers(v8::internal::HeapObject*, v8::internal::Object**, v8::internal::Object**)
      2    0.1%    0.1%  t v8::internal::FeedbackVector::ComputeCounts(int*, int*, int*, bool)
      2    0.1%    0.1%  t v8::internal::Builtin_Impl_ArrayUnshift(v8::internal::BuiltinArguments, v8::internal::Isolate*)
      2    0.1%    0.1%  t v8::internal::(anonymous namespace)::MakeStringThin(v8::internal::String*, v8::internal::String*, v8::internal::Isolate*)
      2    0.1%    0.1%  t v8::internal::(anonymous namespace)::JSObjectWalkVisitor<v8::internal::AllocationSiteUsageContext>::StructureWalk(v8::internal::Handle<v8::internal::JSObject>)
      2    0.1%    0.1%  t v8::internal::(anonymous namespace)::ElementsAccessorBase<v8::internal::(anonymous namespace)::FastPackedObjectElementsAccessor, v8::internal::(anonymous namespace)::ElementsKindTraits<(v8::internal::ElementsKind)2> >::CopyElements(v8::internal::JSObject*, unsigned int, v8::internal::ElementsKind, v8::internal::Handle<v8::internal::FixedArrayBase>, unsigned int, int)
      2    0.1%    0.1%  t v8::base::TemplateHashMapEntry<void*, void*>* v8::base::TemplateHashMapImpl<void*, void*, v8::base::HashEqualityThenKeyMatcher<void*, bool (*)(void*, void*)>, v8::base::DefaultAllocationPolicy>::LookupOrInsert<v8::base::TemplateHashMapImpl<void*, void*, v8::base::HashEqualityThenKeyMatcher<void*, bool (*)(void*, void*)>, v8::base::DefaultAllocationPolicy>::LookupOrInsert(void* const&, unsigned int, v8::base::DefaultAllocationPolicy)::'lambda'()>(void* const&, unsigned int, v8::base::TemplateHashMapImpl<void*, void*, v8::base::HashEqualityThenKeyMatcher<void*, bool (*)(void*, void*)>, v8::base::DefaultAllocationPolicy>::LookupOrInsert(void* const&, unsigned int, v8::base::DefaultAllocationPolicy)::'lambda'() const&, v8::base::DefaultAllocationPolicy)
      2    0.1%    0.1%  t std::__1::vector<v8::internal::SourcePosition, v8::internal::ZoneAllocator<v8::internal::SourcePosition> >::__append(unsigned long, v8::internal::SourcePosition const&)
      2    0.1%    0.1%  t std::__1::ostreambuf_iterator<char, std::__1::char_traits<char> > std::__1::__pad_and_output<char, std::__1::ostreambuf_iterator<char, std::__1::char_traits<char> > >(std::__1::ostreambuf_iterator<char, std::__1::char_traits<char> >, char const*, char const*, char const*, std::__1::ios_base&, char)
      2    0.1%    0.1%  t std::__1::enable_if<(__is_forward_iterator<v8::internal::compiler::Node**>::value) && (is_constructible<v8::internal::compiler::Node*, std::__1::iterator_traits<v8::internal::compiler::Node**>::reference>::value), void>::type std::__1::vector<v8::internal::compiler::Node*, v8::internal::ZoneAllocator<v8::internal::compiler::Node*> >::assign<v8::internal::compiler::Node**>(v8::internal::compiler::Node**, v8::internal::compiler::Node**)
      2    0.1%    0.1%  t node::cares_wrap::(anonymous namespace)::ChannelWrap::New(v8::FunctionCallbackInfo<v8::Value> const&)
      2    0.1%    0.1%  t node::Stat(v8::FunctionCallbackInfo<v8::Value> const&)
      2    0.1%    0.1%  t node::Buffer::(anonymous namespace)::ByteLengthUtf8(v8::FunctionCallbackInfo<v8::Value> const&)
      2    0.1%    0.1%  t node::(anonymous namespace)::Close(v8::FunctionCallbackInfo<v8::Value> const&)
      2    0.1%    0.1%  t __platform_memmove$VARIANT$Base
      2    0.1%    0.1%  T void node::StreamBase::JSMethod<node::LibuvStreamWrap, &(node::StreamBase::WriteBuffer(v8::FunctionCallbackInfo<v8::Value> const&))>(v8::FunctionCallbackInfo<v8::Value> const&)
      2    0.1%    0.1%  T v8::internal::compiler::StateValuesCache::BuildTree(unsigned long*, v8::internal::compiler::Node**, unsigned long, v8::internal::BitVector const*, int, unsigned long)
      2    0.1%    0.1%  T v8::internal::compiler::SourcePositionTable::GetSourcePosition(v8::internal::compiler::Node*) const
      2    0.1%    0.1%  T v8::internal::compiler::LoopVariableOptimizer::LoopVariableOptimizer(v8::internal::compiler::Graph*, v8::internal::compiler::CommonOperatorBuilder*, v8::internal::Zone*)
      2    0.1%    0.1%  T v8::internal::compiler::BytecodeGraphBuilder::Environment::Checkpoint(v8::internal::BailoutId, v8::internal::compiler::OutputFrameStateCombine, v8::internal::compiler::BytecodeLivenessState const*)
