Statistical profiling result from isolate-0x103000000-v8.log, (2732 ticks, 192 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      3    0.1%    0.1%  LazyCompile: ~nextToken /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/babylon/lib/index.js:753:53
      3    0.1%    0.1%  LazyCompile: ~mixin /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/pug-lexer/index.js:876:18
      3    0.1%    0.1%  LazyCompile: ~init /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/babylon/lib/index.js:517:39
      3    0.1%    0.1%  LazyCompile: ~filter /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/pug-lexer/index.js:387:19
      3    0.1%    0.1%  LazyCompile: ~c /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/acorn-globals/node_modules/acorn/dist/walk.js:40:15
      3    0.1%    0.1%  LazyCompile: ~block /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/pug-parser/index.js:987:18
      3    0.1%    0.1%  LazyCompile: ~State.current /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/character-parser/index.js:200:36
      3    0.1%    0.1%  LazyCompile: ~Readable.on _stream_readable.js:771:33
      3    0.1%    0.1%  LazyCompile: ~Join native array.js:119:14
      3    0.1%    0.1%  LazyCompile: ~<anonymous> /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/acorn-globals/index.js:155:28
      3    0.1%    0.1%  LazyCompile: *toConstant /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/constantinople/lib/index.js:9:24
      3    0.1%    0.1%  LazyCompile: *pp$7.next /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/acorn-globals/node_modules/acorn/dist/acorn.js:2676:21
      3    0.1%    0.1%  LazyCompile: *pp$7.getTokenFromCode /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/acorn/dist/acorn.js:2686:35
      3    0.1%    0.1%  LazyCompile: *pp$3.parseMaybeAssign /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/babylon/lib/index.js:3322:34
      3    0.1%    0.1%  LazyCompile: *normalizeStringPosix path.js:101:30
      3    0.1%    0.1%  LazyCompile: *next /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/babylon/lib/index.js:682:43
      3    0.1%    0.1%  LazyCompile: *is /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/babel-types/lib/index.js:387:12
      3    0.1%    0.1%  LazyCompile: *getTokenFromCode /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/babylon/lib/index.js:1041:67
      3    0.1%    0.1%  LazyCompile: *buffer /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/pug-code-gen/index.js:176:20
      3    0.1%    0.1%  LazyCompile: *advance /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/pug-lexer/index.js:1465:20
      3    0.1%    0.1%  LazyCompile: *Parser /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/is-expression/node_modules/acorn/dist/acorn.js:432:29
      3    0.1%    0.1%  LazyCompile: *Parser /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/babylon/lib/index.js:1563:18
      3    0.1%    0.1%  Builtin: StrictEqual
      3    0.1%    0.1%  Builtin: FunctionPrototypeCall
